Bases loaded: CBASE=e660, FBASE=ee60, BBASE=fc60, DPBASE=fd04
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=0018
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=0018
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=0018
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0019, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0019, DE=0000 SP=eeef HL=0019
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=0019
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=0019
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=0019
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=001a, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=001a, DE=0000 SP=eeef HL=001a
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=001a
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=001a
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=001a
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=001b, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=001b, DE=0000 SP=eeef HL=001b
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=001b
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=001b
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=001b
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=001c, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=001c, DE=0000 SP=eeef HL=001c
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=001c
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=001c
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=001c
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=001d, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=001d, DE=0000 SP=eeef HL=001d
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=001d
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=001d
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=001d
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=001e, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=001e, DE=0000 SP=eeef HL=001e
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=001e
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=001e
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=001e
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=001f, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=001f, DE=0000 SP=eeef HL=001f
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=001f
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=001f
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=001f
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=000d, DE=e60d SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=000d, DE=e60d SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=000a, DE=e60a SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=000a, DE=e60a SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0041, DE=e641 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0041, DE=e641 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=003e, DE=e63e SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=003e, DE=e63e SP=eeed HL=f0c4
Port write 03 (console input), value (00) PC=fcce, AF=0044, BC=0066, DE=e668 SP=eeef HL=ee89
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0062, DE=e668 SP=eee3 HL=e667
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0062, DE=e668 SP=eee7 HL=e667
Port write 03 (console input), value (00) PC=fcce, AF=0044, BC=0050, DE=e669 SP=eeef HL=ee89
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0062, DE=e669 SP=eee3 HL=e667
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0062, DE=e669 SP=eee7 HL=e667
Port write 03 (console input), value (00) PC=fcce, AF=0044, BC=0050, DE=e66a SP=eeef HL=ee89
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0063, DE=e66a SP=eee3 HL=e667
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0063, DE=e66a SP=eee7 HL=e667
Port write 03 (console input), value (00) PC=fcce, AF=0044, BC=0050, DE=e66b SP=eeef HL=ee89
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0062, DE=e66b SP=eee3 HL=e667
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0062, DE=e66b SP=eee7 HL=e667
Port write 03 (console input), value (00) PC=fcce, AF=0044, BC=0050, DE=e66c SP=eeef HL=ee89
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0061, DE=e66c SP=eee3 HL=e667
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0061, DE=e66c SP=eee7 HL=e667
Port write 03 (console input), value (00) PC=fcce, AF=0044, BC=0050, DE=e66d SP=eeef HL=ee89
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0073, DE=e66d SP=eee3 HL=e667
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0073, DE=e66d SP=eee7 HL=e667
Port write 03 (console input), value (00) PC=fcce, AF=0044, BC=0050, DE=e66e SP=eeef HL=ee89
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0069, DE=e66e SP=eee3 HL=e667
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0069, DE=e66e SP=eee7 HL=e667
Port write 03 (console input), value (00) PC=fcce, AF=0044, BC=0050, DE=e66f SP=eeef HL=ee89
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0063, DE=e66f SP=eee3 HL=e667
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0063, DE=e66f SP=eee7 HL=e667
Port write 03 (console input), value (00) PC=fcce, AF=0044, BC=0050, DE=e670 SP=eeef HL=ee89
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=000d, DE=e670 SP=eee9 HL=efff
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=000d, DE=e670 SP=eeed HL=efff
Port write 0c (set dma), value (80) PC=fcf2, AF=80a8, BC=0080, DE=0080 SP=eef7 HL=f693
Port write 08 (home disk), value (20) PC=fce2, AF=2020, BC=000d, DE=0001 SP=eeef HL=0020
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eee7 HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0000, DE=0000 SP=eee9 HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeeb HL=0000
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eee9 HL=0000
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeeb HL=0000
Port write 0c (set dma), value (00) PC=fcf2, AF=00a8, BC=0100, DE=0100 SP=eef7 HL=f693
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0003, DE=0003 SP=eef1 HL=0003
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0008, DE=0000 SP=eef3 HL=0003
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0008, DE=0000 SP=eef5 HL=0008
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=0008, DE=0000 SP=eef3 HL=0008
Port write 0c (set dma), value (80) PC=fcf2, AF=80a8, BC=0180, DE=0180 SP=eef7 HL=f693
